npy_filename,gender,age
sample-000005.npy,female,twenties
sample-000008.npy,male,seventies
sample-000013.npy,female,thirties
sample-000014.npy,male,sixties
sample-000019.npy,male,fifties
sample-000020.npy,male,thirties
sample-000023.npy,male,thirties
sample-000026.npy,female,twenties
sample-000027.npy,male,twenties
sample-000029.npy,male,thirties
sample-000034.npy,female,fourties
sample-000036.npy,male,twenties
sample-000039.npy,female,teens
sample-000043.npy,male,twenties
sample-000044.npy,male,thirties
sample-000047.npy,male,sixties
sample-000049.npy,male,fourties
sample-000050.npy,male,twenties
sample-000051.npy,female,thirties
sample-000053.npy,male,fourties
sample-000054.npy,male,thirties
sample-000056.npy,male,seventies
sample-000057.npy,female,fifties
sample-000059.npy,female,twenties
sample-000062.npy,male,fifties
sample-000065.npy,male,twenties
sample-000068.npy,male,twenties
sample-000072.npy,male,fifties
sample-000073.npy,male,twenties
sample-000077.npy,female,fourties
sample-000081.npy,male,fifties
sample-000082.npy,male,fifties
sample-000088.npy,female,teens
sample-000092.npy,male,twenties
sample-000097.npy,male,twenties
sample-000100.npy,male,fourties
sample-000101.npy,female,twenties
sample-000105.npy,male,twenties
sample-000106.npy,female,thirties
sample-000111.npy,male,twenties
sample-000115.npy,male,thirties
sample-000116.npy,male,twenties
sample-000118.npy,male,thirties
sample-000121.npy,male,thirties
sample-000124.npy,female,thirties
sample-000128.npy,female,thirties
sample-000132.npy,male,sixties
sample-000133.npy,female,thirties
sample-000135.npy,male,fourties
sample-000137.npy,male,fifties
sample-000140.npy,male,fourties
sample-000146.npy,male,twenties
sample-000154.npy,male,twenties
sample-000155.npy,female,twenties
sample-000159.npy,female,teens
sample-000167.npy,male,twenties
sample-000168.npy,male,thirties
sample-000169.npy,female,fifties
sample-000175.npy,male,twenties
sample-000179.npy,male,twenties
sample-000180.npy,male,fifties
sample-000181.npy,male,fourties
sample-000184.npy,female,teens
sample-000187.npy,male,thirties
sample-000191.npy,male,thirties
sample-000192.npy,male,thirties
sample-000193.npy,male,thirties
sample-000194.npy,male,twenties
sample-000195.npy,male,fourties
sample-000196.npy,female,twenties
sample-000197.npy,male,thirties
sample-000201.npy,male,sixties
sample-000202.npy,male,fifties
sample-000203.npy,female,thirties
sample-000204.npy,male,thirties
sample-000205.npy,male,thirties
sample-000213.npy,male,thirties
sample-000214.npy,female,fifties
sample-000217.npy,female,twenties
sample-000218.npy,male,twenties
sample-000219.npy,male,thirties
sample-000221.npy,female,thirties
sample-000225.npy,male,fourties
sample-000229.npy,male,teens
sample-000235.npy,male,thirties
sample-000236.npy,female,twenties
sample-000238.npy,male,twenties
sample-000239.npy,male,thirties
sample-000242.npy,female,twenties
sample-000243.npy,male,twenties
sample-000246.npy,male,thirties
sample-000247.npy,male,fifties
sample-000248.npy,female,twenties
sample-000250.npy,male,fourties
sample-000254.npy,male,sixties
sample-000255.npy,female,thirties
sample-000262.npy,male,fourties
sample-000265.npy,male,sixties
sample-000266.npy,male,fourties
sample-000270.npy,female,fifties
sample-000273.npy,male,twenties
sample-000274.npy,male,teens
sample-000277.npy,male,twenties
sample-000278.npy,male,fourties
sample-000283.npy,male,twenties
sample-000285.npy,male,twenties
sample-000286.npy,male,sixties
sample-000290.npy,male,twenties
sample-000292.npy,male,fourties
sample-000293.npy,male,sixties
sample-000294.npy,male,fourties
sample-000297.npy,male,fourties
sample-000299.npy,male,twenties
sample-000300.npy,male,thirties
sample-000303.npy,male,twenties
sample-000304.npy,male,twenties
sample-000305.npy,female,twenties
sample-000317.npy,male,fourties
sample-000322.npy,male,fifties
sample-000325.npy,male,fourties
sample-000333.npy,male,fifties
sample-000341.npy,female,fourties
sample-000343.npy,male,twenties
sample-000345.npy,male,twenties
sample-000350.npy,female,twenties
sample-000355.npy,male,teens
sample-000360.npy,male,twenties
sample-000362.npy,female,fifties
sample-000368.npy,female,thirties
sample-000369.npy,male,fifties
sample-000374.npy,male,fifties
sample-000375.npy,male,thirties
sample-000378.npy,male,fourties
sample-000379.npy,male,fifties
sample-000383.npy,male,fourties
sample-000384.npy,male,sixties
sample-000385.npy,male,teens
sample-000387.npy,male,twenties
sample-000389.npy,male,fourties
sample-000392.npy,male,fourties
sample-000393.npy,male,thirties
sample-000394.npy,male,fourties
sample-000395.npy,male,thirties
sample-000400.npy,male,twenties
sample-000401.npy,male,fourties
sample-000409.npy,male,twenties
sample-000410.npy,female,thirties
sample-000412.npy,male,thirties
sample-000414.npy,male,thirties
